callsign,latitude,longitude,altitude,velocity,heading,vertical_rate,timestamp,source_file
UPS2924,35.6077,-115.3906,34125.001092,442.8855286016,228.75,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
DAL2914,33.9612,-118.3145,1475.0000472,179.611230876,262.32,-704.72441052,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N91604,33.6094,-117.4353,4525.0001448,132.1036715404,277.39,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
GH11,32.5562,-117.1266,350.0000112,84.2073433068,164.15,127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA3225,33.6446,-118.0428,17200.0005504,389.0021593388,90.15,1791.3385853999998,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N6096R,33.7919,-117.6436,2750.0000880000002,70.8336932156,13.06,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N925TV,34.1723,-118.5225,1150.0000367999999,102.8682504108,116.57,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SKW3853,35.0589,-119.9198,18325.0005864,284.773217785,195.06,-1344.48819102,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
UAL1243,32.0796,-115.0223,38250.001224,505.8855285225,317.0,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
AAL513,33.8935,-117.964,19275.0006168,376.07559348030003,50.94,960.62992272,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N213PF,34.0517,-118.3102,625.00002,124.85313159270001,125.22,-127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
FFT1571,32.8344,-115.553,25400.0008128,388.3023753224,258.86,-1728.34645932,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
AAL352,34.0812,-116.5123,27000.000864,396.2915761763,262.61,-1088.58267882,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N227TW,33.6019,-117.3436,6775.0002168,103.2375808639,248.4,-255.9055122,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
DAL38,34.0352,-118.2126,3375.000108,193.4902805346,128.71,-1279.5275609999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N58GP,34.2028,-118.7766,5650.0001808,165.5572352133,100.09,64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N12577,34.0725,-118.0422,800.0000256,65.74082065180001,206.18,639.7637804999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA4930,32.7304,-117.1894,,0.0,337.5,,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
LS30,32.6263,-117.2699,125.000004,132.0259177608,91.3,-127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N70275,32.808,-117.1583,1250.00004,80.9222461187,140.01,704.72441052,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA4908,32.7302,-117.1802,,1.4967602573,106.88,,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N513HS,34.2245,-115.0445,43400.001388799996,439.17278562570004,79.64,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SKW3092,34.429,-118.9519,10250.000328,301.4708419541,146.36,-1023.6220488,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N744ND,34.1905,-119.114,950.0000304,116.04751605300001,38.35,-383.85826829999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
DAL1277,33.9361,-117.2808,11625.000372,292.1987037368,229.44,-1663.3858292999998,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
LFG41,34.6047,-118.8005,23875.000764,386.7472997304,329.72,2879.92126422,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N76015,34.155,-118.5928,4150.0001328,79.69762409,246.33,576.77165442,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N971TA,33.6569,-118.0844,2875.0000919999998,93.2656586302,85.7,-448.81889831999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N3570E,34.2864,-118.8458,3550.0001136,90.09719211150001,92.54,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA791,34.1983,-118.3566,625.00002,156.51835833479998,167.83,383.85826829999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N1605M,34.378,-119.4756,6825.0002184,170.475161773,112.05,-767.7165365999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA3832,34.597,-119.0873,35550.0011376,434.7796970783,152.32,-2879.92126422,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
FFT4652,33.662,-117.8773,825.0000264,141.7645786557,206.38,3072.83465034,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N5156J,34.2775,-118.637,4525.0001448,87.667386499,117.15,-832.6771666200001,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
,32.7319,-117.183,-75.0000024,117.4470840858,285.81,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
AAL1502,34.0512,-116.8228,23350.0007472,404.39740769959997,263.75,-1728.34645932,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
EJA667,33.8074,-115.2321,40350.0012912,478.7494594421,274.91,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N852MH,33.7635,-118.226,750.0000239999999,50.53995674,207.07,-639.7637804999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N53533,33.7646,-118.0713,2975.0000952,93.18790485059999,33.18,127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
LXJ455,35.162,-115.7802,42375.001356,454.89848754980005,237.11,64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA3870,33.5485,-117.9228,5675.0001816,250.34773186709998,225.97,3775.59055692,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N220WC,33.8012,-118.1358,850.0000272,105.0064793498,89.45,-192.91338611999998,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
MGLRY,34.2084,-118.4915,,4.4902807719,53.44,,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N1835F,35.4874,-119.2998,7800.0002496,170.9805613404,98.75,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
DAL2198,33.854,-118.6111,7600.0002432,283.7818570951,114.13,2112.20472762,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA4540,34.2003,-118.5443,3550.0001136,191.9935202773,90.3,-895.6692926999999,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
CXK386,33.7584,-118.0494,4150.0001328,109.10799122370001,17.6,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
ITY621,35.0071,-116.7659,31150.0009968,477.9719216461,50.35,1023.6220488,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N65499,34.1348,-117.8992,2700.0000864000003,125.00863915190001,253.74,-255.9055122,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N40798,34.122,-118.7326,3575.0001144000003,94.8984880018,7.87,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N950LA,33.9986,-118.192,450.0000144,85.6069113396,22.67,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA2951,33.7562,-118.0769,1500.0000479999999,158.4038874901,314.49,-576.77165442,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
ASA502,34.2064,-118.8487,13600.0004352,320.22894128260003,142.49,-448.81889831999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N132CA,32.8378,-117.2132,2350.0000752,82.53563704540001,289.09,383.85826829999996,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SKW3842,34.7296,-119.3104,26550.000849599997,368.2807770754,144.28,-1728.34645932,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N208JA,34.1471,-117.9663,3475.0001112,135.097192055,267.88,127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N960MS,34.121,-118.0142,4450.000142399999,99.0194383206,123.05,-1023.6220488,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
PFT144,33.7032,-117.8514,450.0000144,118.5356370002,207.65,-576.77165442,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
VOI3382,32.4688,-117.0878,5025.000160799999,247.3153344627,152.81,1023.6220488,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
PD10,34.0764,-117.6151,1900.0000608,80.7473001146,7.83,127.9527561,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
PAT767,34.1941,-115.5021,21200.0006784,266.3844489096,249.8,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N269ZR,34.6939,-117.6877,16200.0005184,364.9762414424,254.1,-2112.20472762,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N497TC,33.1539,-117.2315,1450.0000464,98.2419005246,75.26,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N445MD,33.0335,-117.6825,18850.0006032,375.82289369660003,307.54,2944.8818942400003,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N258CA,33.8054,-118.2125,4000.000128,116.1058313877,300.54,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N670PC,33.1732,-117.2057,1150.0000367999999,87.99784006230001,126.22,64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N292P,35.8485,-115.1763,6875.00022,207.5248377524,41.68,576.77165442,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
SWA3496,32.6659,-117.2994,10225.0003272,261.0194381172,127.53,2751.96850812,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N96836,33.9463,-118.399,4600.000147199999,100.3995679085,326.78,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N68344,33.8031,-117.4536,5675.0001816,87.861770948,131.31,-64.96063002,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N747TA,33.274,-117.02,2550.0000816,102.4211661781,80.45,320.86614222,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
CXK360,34.21,-119.1799,525.0000168,77.11231091830001,182.97,-511.8110244,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
LXJ387,34.7404,-118.7899,30750.000984000002,379.438444448,350.29,1663.3858292999998,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
AAL2860,34.4346,-117.4068,36100.0011552,492.8812088844,290.05,0.0,2026-07-13 22:41:30+00:00,opensky_states_20260713_2241.json
N248RG,34.2433,-118.492,1475.0000472,84.2073433068,175.91,-576.77165442,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
TAI563,33.6201,-117.1542,37225.0011912,420.7257014156,135.1,-64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA193,35.0266,-115.4576,37625.001204,469.3606905554,260.56,-832.6771666200001,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N325VT,35.9887,-115.1352,2550.0000816,89.0086391971,179.36,-639.7637804999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
JBU624,34.5745,-117.053,28450.0009104,448.1339087246,50.34,448.81889831999996,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N947HH,34.0333,-118.448,1750.0000559999999,78.2397407225,38.77,-448.81889831999996,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N370BM,34.5957,-118.5258,11550.0003696,180.2332611128,154.0,0.0,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA955,33.9193,-118.8625,16450.0005264,372.82937318200004,281.76,2879.92126422,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA2414,35.1303,-116.3669,25425.0008136,454.85961066,46.69,255.9055122,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N6382D,34.8533,-118.5529,9925.0003176,87.9784016174,148.48,-192.91338611999998,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
AAL2368,34.0206,-117.0828,19275.0006168,409.8401722716,262.15,-1919.2913415,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N231LE,33.6511,-117.7802,2875.0000919999998,109.1857450033,81.57,960.62992272,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
CXK527,34.0991,-117.9924,4500.000144,101.4103670433,12.53,-383.85826829999996,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA3547,33.3316,-117.9961,22750.000728,410.75377918190003,320.73,1600.3937032200001,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
UAL1591,33.6133,-115.3974,34300.0010976,459.2526992074,91.87,960.62992272,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
QXE2255,33.1316,-117.7985,16675.0005336,368.7861766428,319.4,1728.34645932,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA278,34.5828,-119.1834,24875.000796,358.50323929070004,144.54,-2431.1023658999998,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N9488G,32.9351,-116.7656,5800.0001856,57.012958891699995,21.61,64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SKW5841,33.9398,-118.359,425.0000136,133.0950322303,262.66,-639.7637804999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N951LB,34.1048,-118.4623,1925.0000616,133.5615549079,101.23,-64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SKW3693,34.6998,-117.5239,17750.000568,364.9568029975,260.54,-2175.1968537000002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N4629D,33.1988,-117.4042,1850.0000592,86.0928724621,329.26,0.0,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SKW108R,34.1701,-117.1022,13700.0004384,297.4276454149,207.43,-767.7165365999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SCX425,34.7136,-116.3778,30875.000988000003,396.52483751510005,234.55,-320.86614222,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N865SL,34.0288,-118.4359,550.0000176,59.2095031654,232.55,-832.6771666200001,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N789FA,32.8063,-117.1097,800.0000256,69.2980560685,249.73,-448.81889831999996,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N2470B,33.9375,-117.6238,2450.0000784,92.85745128730001,131.07,64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
CWG200,34.3715,-119.6155,10850.000347199999,296.00863893720003,270.19,-2944.8818942400003,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SWA3575,35.4968,-115.5603,16975.0005432,392.8315329841,302.31,-64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
UAL2823,33.6671,-118.7052,22000.000704000002,438.6673860583,318.79,1856.2992154199999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N773MB,34.2065,-116.6622,45350.0014512,487.94384387980006,290.51,64.96063002,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
AAL2656,33.3167,-117.6323,12950.0004144,373.9762414311,302.33,-2816.92913814,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
EJA467,34.619,-116.6457,31900.001020800002,396.9719217478,222.86,0.0,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N94118,33.8058,-118.1102,1025.0000328,86.112310907,12.75,-639.7637804999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
ASA892,32.722,-116.9663,3950.0001264,188.5140386402,162.72,-576.77165442,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N909AD,33.5801,-117.3588,19725.0006312,416.1965437539,91.79,2688.97638204,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N524AR,33.9424,-117.4749,1725.0000552,94.859611112,145.3,704.72441052,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
SKW5599,33.1217,-117.3185,2025.0000648,170.7473000016,256.45,767.7165365999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N417SK,34.623,-119.7978,20450.0006544,218.6630666801,324.49,1151.5748049,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
QXE2050,33.1755,-116.3109,17375.000556,384.68682457100005,213.44,-1791.3385853999998,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N5407F,34.083,-117.8953,3425.0001096,66.479481558,43.78,127.9527561,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N916FT,35.433,-119.0536,,0.1166306694,225.0,,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
DAL747,34.4605,-116.7634,26475.0008472,386.00863882420003,216.57,-1728.34645932,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
N8151Y,33.2563,-117.5433,5675.0001816,154.30237561619998,128.95,0.0,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
EJA583,35.9623,-119.0445,17825.0005704,405.2138223854,338.88,-2112.20472762,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
XE1183,34.0,-118.5625,3875.0001239999997,175.1015116592,271.96,1535.4330731999999,2026-07-13 22:41:31+00:00,opensky_states_20260713_2241.json
