mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
202913,ANC26LA034,2026-04-29 18:30:00+00:00,Palmer,Alaska,United States,,PIPER PA-18S-150 AIR,Landing,
202919,GAA26WA181,2026-04-29 04:00:00+00:00,"Cumayasa, La Romana",Other Foreign,Dominican Republic,,PIPER PA-23-250 AIR,Unknown,
202908,GAA26WA179,2026-04-29 04:00:00+00:00,Parafield,Other Foreign,Australia,,DIAMOND DA42 AIR,Unknown,
202953,WPR26LA178,2026-04-25 10:26:00+00:00,Everett,Washington,United States,,CESSNA 162 AIR,Landing-landing roll,
202893,ERA26LA189,2026-04-24 17:49:00+00:00,Kissimmee,Florida,United States,,PIPER PA-34-220T AIR,Landing-flare/touchdown,
202882,ANC26LA032,2026-04-24 10:45:00+00:00,Aniak,Alaska,United States,,CESSNA A185F AIR,Landing,
202879,ERA26LA186,2026-04-22 14:00:00+00:00,Crystal River,Florida,United States,,CESSNA 172M,Takeoff,
202901,WPR26LA168,2026-04-21 16:30:00+00:00,Española,New Mexico,United States,The pilot’s loss of of directional control during landing roll following an encounter with a dust devil.,CESSNA 150H AIR,Landing-landing roll,0106202020|0303404585|0303406086|0303406091
202950,ERA26LA199,2026-04-20 14:30:00+00:00,Greenwood,South Carolina,United States,"The glider pilot’s encounter with a strong sink/loss of lift, which resulted in a forced landing to unsuitable terrain.",ALEXANDER SCHLEICHER GMBH & CO ASW 27-18 GLI,Enroute-cruise,0303104099|0303403582|0106201221|0302101791
202993,GAA26WA190,2026-04-18 02:45:00+00:00,Sao Paulo,Other Foreign,Brazil,,CESSNA U206 AIR,Unknown,
202840,ERA26FA178,2026-04-17 14:14:00+00:00,Ironton,Ohio,United States,,MOONEY M20J AIR,Emergency descent,
202859,ERA26LA182,2026-04-17 11:52:00+00:00,Crestview,Florida,United States,,DONALD E JOHNSTON VELOCITY XL-RG AIR,Landing,
202853,ANC26LA026,2026-04-16 10:15:00+00:00,Juneau,Alaska,United States,,CESSNA U206F AIR,Enroute-cruise,
202824,CEN26LA165,2026-04-14 04:17:00+00:00,Peyton,Colorado,United States,,PIPISTREL Alpha Trainer AIR,Enroute,
202830,ERA26LA174,2026-04-13 17:28:00+00:00,The Rock,Georgia,United States,"The pilot’s improper landing flare, which resulted in a hard, porpoised landing.",CESSNA 172S AIR,Landing-flare/touchdown,0106204120|0206304046
202819,ERA26LA169,2026-04-10 17:32:00+00:00,Iron Station,North Carolina,United States,,ERIC VARGOSKO SW-51 AIR,Takeoff,
202834,GAA26WA165,2026-04-10 12:45:00+00:00,"Goiânia,",,Brazil,,PIPER PA30 AIR,Unknown,
202806,WPR26LA155,2026-04-10 12:10:00+00:00,Ennis,Montana,United States,,AERO VODOCHODY L-39 AIR,Approach,
202782,WPR26FA151,2026-04-08 17:10:00+00:00,Marana,Arizona,United States,,PIPER PA-32R-301T AIR,Landing,
202787,WPR26LA152,2026-04-08 11:06:00+00:00,Great Falls,Montana,United States,,Just Aircraft Highlander AIR,Landing-landing roll,
202763,CEN26LA160,2026-04-06 16:39:00+00:00,Tahlequah,Oklahoma,United States,"The student pilot’s failure to maintain directional control while landing, which resulted in a runway excursion and nose over.",CESSNA 172N AIR,Landing,0106202020|0206304046
202757,WPR26LA146,2026-04-04 16:00:00+00:00,Chimney Rock,Montana,United States,"The pilot’s failure to maintain adequate clearance from the terrain while performing a lowaltitude circling takeoff maneuver, which resulted in a dynamic rollover.",BELL HELICOPTER TEXTRON 206L-1 HELI,Maneuvering-low-alt flying,0202154544|0206304044|0302101791
202754,GAA26WA150,2026-04-03 13:38:00+00:00,Capão da Canoa,Other Foreign,Brazil,,PIPER PA46 AIR,Unknown,
202778,CEN26LA163,2026-04-03 11:05:00+00:00,Wichita,Kansas,United States,,TEXTRON AVIATION INC T206H AIR,Initial climb,
202744,ERA26LA157,2026-03-31 19:30:00+00:00,Mount Pleasant,South Carolina,United States,,CIRRUS DESIGN CORP SR22T AIR,Takeoff,
202935,GAA26WA184,2026-03-31 14:36:00+00:00,Yorke Island,Other Foreign,Australia,,ROBINSON R44 HELI,Initial climb,
202736,GAA26WA144,2026-03-31 04:00:00+00:00,Pucallpa,Other Foreign,Peru,,CESSNA 182 AIR,Other,
202723,CEN26LA152,2026-03-29 12:15:00+00:00,Boulder,Colorado,United States,,ELA AVIATION USA ECLIPSE 10 HELI,Takeoff,
202734,GAA26WA142,2026-03-29 09:00:00+00:00,Ausnek,,Namibia,,CESSNA 172 AIR,Maneuvering-low-alt flying,
202880,GAA26WA171,2026-03-28 18:22:00+00:00,New Brunswick,Other Foreign,Canada,,ROBINSON R44,Unknown,
202706,GAA26WA140,2026-03-26 12:16:00+00:00,San Juan,Other Foreign,Ecuador,,THRUSH S2R AIR,Unknown,
202708,DCA26WA166,2026-03-26 07:40:00+00:00,Bari,,Italy,,BOEING 737 AIR,Enroute-cruise,
